,VendorNumber,VendorName,Brand,Description,ActualPrice,PurchasePrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesPrice,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
75,7245,PROXIMO SPIRITS INC.,3776,Jose Cuervo Especial Silver,25.99,18.56,1750.0,26795,497315.199999981,236250.9299999738,20681.0,552487.1899999527,38000.109999995795,38994.78000000001,55171.9899999717,9.98611207618704,0.7718231013248741,1.1109396817148838
76,3960,DIAGEO NORTH AMERICA INC,3746,Gordons Vodka 80 Proof,12.99,8.52,1750.0,58309,496792.67999998684,149061.5400000101,46486.0,577659.139999942,85408.6299999906,257032.07000000007,80866.4599999552,13.998992554668712,0.7972354182030218,1.16277707634492
77,17035,PERNOD RICARD USA,3728,Absolut Citron,24.99,18.93,1750.0,25959,491403.86999999895,229211.90999997573,21007.0,528264.9299999546,38598.21999999556,123780.21999999997,36861.0599999557,6.977760193158926,0.8092376439770407,1.075011741360433
78,3924,HEAVEN HILL DISTILLERIES,3243,Burnetts Vodka,10.49,8.26,1750.0,57575,475569.4999999942,143192.23000001765,46219.0,519280.8099999578,84916.84999999026,14069.869999999995,43711.30999996362,8.417663267773591,0.8027616152844116,1.0919136109442766
79,3089,SIDNEY FRANK IMPORTING CO,5440,Jagermeister Liqueur,34.99,25.92,1750.0,18298,474284.1599999999,247503.89999997657,13686.0,479893.1399999611,25148.949999999433,8549.550000000001,5608.979999961157,1.1687977035807622,0.7479505956935184,1.011826201406265
80,480,BACARDI USA INC,4245,Bacardi Superior Rum,11.99,7.93,750.0,58816,466410.87999998714,133471.62000002534,39012.0,446597.87999996403,30716.32000000224,89286.26999999999,-19813.00000002311,-4.4364294788019825,0.6632889009793254,0.9575202876913513
81,9165,ULTRA BEVERAGE COMPANY LLP,36378,MezzaCorona Pnt Grigio,9.97,6.83,1500.0,68084,465013.72000000003,122847.67000002447,53626.0,553854.1399999576,12049.000000000116,68054.70000000003,88840.41999995761,16.04040009522442,0.7876446742259562,1.1910490296930543
82,3664,WILLIAM GRANT & SONS INC,4198,Sailor Jerry Spiced Navy Rum,24.99,17.51,1750.0,25998,455224.9799999919,221650.61999997712,17232.0,431412.67999996204,31663.539999998422,30234.42000000001,-23812.30000002985,-5.519610596524874,0.6628202169397646,0.9476911394448735
83,10000,MAJESTIC FINE WINES,24325,La Crema Chard Sonoma Cst,15.99,10.88,750.0,41274,449061.11999999353,118026.60000001395,28269.0,477982.3099999773,3168.599999999943,17587.59,28921.189999983762,6.050682084863169,0.6849105974705626,1.0644036829551937
84,17035,PERNOD RICARD USA,5735,Malibu Rum,11.99,9.29,750.0,48121,447044.0899999993,143793.36000001445,36136.0,463400.6399999623,28451.510000002287,123780.21999999997,16356.549999962968,3.5296779046235884,0.7509403378982149,1.0365882255595036
85,8112,MOET HENNESSY USA INC,5342,Grand Marnier,28.99,19.85,750.0,22234,441344.90000000334,259735.53999997184,16265.0,502386.3499999478,12809.40000000119,48347.26,61041.44999994448,12.15030026193005,0.7315372852388234,1.1383078177632595
86,2555,DISARONNO INTERNATIONAL LLC,5311,Amaretto DiSaronno,31.99,23.7,1750.0,18409,436293.30000000645,234082.0599999818,13152.0,480040.4799999664,24168.519999999648,5861.030000000001,43747.179999959946,9.113227284491302,0.7144331576946059,1.1002701164559696
87,1392,CONSTELLATION BRANDS INC,19748,Clos du Bois Chard,13.99,9.2,1500.0,47153,433807.600000004,130649.2500000124,37748.0,567354.7999999785,8478.720000000036,79528.99,133547.19999997452,23.538568810906256,0.8005429134943693,1.3078489173540835
88,8112,MOET HENNESSY USA INC,3668,Belvedere Polish Vodka,42.99,34.12,1750.0,12713,433767.55999999325,214839.7199999895,8965.0,396321.3499999812,16474.940000000584,48347.26,-37446.21000001207,-9.448446317619236,0.7051836702587903,0.9136721750238477
89,2561,EDRINGTON AMERICAS,2520,The Macallan 12 Yr Old,62.99,42.21,750.0,10227,431681.6700000005,253223.32999998578,6489.0,392982.1099999815,5112.639999999902,9654.500000000002,-38699.56000001903,-9.847664566720571,0.6344969199178645,0.9103516255392105
90,3960,DIAGEO NORTH AMERICA INC,8202,Sambuca Romana,17.99,13.33,750.0,32375,431558.75000000186,168050.59999999788,22222.0,433935.77999996697,17498.82000000151,257032.07000000007,2377.0299999651033,0.5477838218284936,0.6863938223938224,1.0055080102071041
91,3960,DIAGEO NORTH AMERICA INC,3276,Gordons London Dry,14.99,9.62,1750.0,44631,429350.21999997704,147709.6300000099,35737.0,513883.6299999602,65661.34999999224,257032.07000000007,84533.40999998315,16.449912989053512,0.800721471622863,1.1968868444972212
92,3960,DIAGEO NORTH AMERICA INC,497,Capt Morgan Spiced Rum,19.99,14.7,1000.0,29200,429240.0000000057,110824.56000000969,21749.0,434762.50999998144,22836.44999999909,257032.07000000007,5522.509999975737,1.270236019194933,0.7448287671232877,1.012865786040387
93,3960,DIAGEO NORTH AMERICA INC,1883,Seagrams 7 Crown,17.99,13.23,1750.0,32253,426707.1900000127,177597.27999999258,25071.0,451027.28999995894,46063.86999999332,257032.07000000007,24320.09999994625,5.392157090970807,0.7773230397172356,1.0569948212026743
94,3960,DIAGEO NORTH AMERICA INC,2767,Johnnie Walker Blue Label,189.99,139.7,750.0,2963,413931.1000000022,268030.78999999515,1670.0,337117.299999995,1316.8899999999821,257032.07000000007,-76813.8000000072,-22.785481492646134,0.5636179547755653,0.8144285365366197
95,17035,PERNOD RICARD USA,482,Absolut 80 Proof,21.99,14.28,1000.0,28888,412520.6399999918,151814.12000000506,20315.0,441020.8499999747,21330.74999999902,123780.21999999997,28500.209999982908,6.462327121265251,0.7032331764054278,1.069087961271425
96,3960,DIAGEO NORTH AMERICA INC,8778,Bulleit Bourbon,49.99,37.29,1750.0,10966,408922.1399999975,226866.29999998817,7957.0,386013.4299999816,14624.180000000546,257032.07000000007,-22908.71000001591,-5.934692479486272,0.7256064198431516,0.9439778193471842
97,1128,BROWN-FORMAN CORP,1220,Woodford Reserve Bourbon,29.99,21.89,750.0,18645,408139.0500000114,220218.24999998423,12999.0,418737.0099999704,10237.160000000393,68601.68000000001,10597.959999958985,2.5309346312521392,0.697184231697506,1.0259665425299507
98,3960,DIAGEO NORTH AMERICA INC,2418,Crown Royal Regal Apple,22.99,16.53,750.0,24558,405943.7399999935,201052.59999998665,17295.0,406006.04999996495,13619.620000001123,257032.07000000007,62.30999997147592,0.015347061939466493,0.7042511605179574,1.0001534941762409
99,1392,CONSTELLATION BRANDS INC,8504,R M Woodbridge Cab Svgn Cal,8.99,5.84,1500.0,69263,404495.9199999966,115292.52000002157,49170.0,499168.2999999636,11045.640000000218,79528.99,94672.379999967,18.96602408445687,0.7099028341250018,1.2340502717554427
